review,rating
maksih lazada paket ya udah datng,5
makasi bnyak lazada dan kurir nya juga,5
Alhamdulillah sudah sampe tks lazada ,5
"Terimakasih seller dan lazada.. Alhamdulillah barangnya datang lebih cepat.. Mudah""an ikhtiar kami berhasil",5
"Alhamdulillah paket sudah d terima ,kemasannya rapih bgt ,pesen kemarin Alhamdulillah langsung dateng ,tingkatkan ya Lazada ,sukses truss ,kurirnya juga ramah bgt terimakasih Lazada",5
"barang oke packing aman sip pokonya
",5
terima kasih barang sesuai pesanan...top top top,5
"terima kasih
barangnya udah sampe
mudah2an dg minum madu ini bisa menuju garis dua",5
trima kasi lazada datang nyza cepat madunya mantap.,5
"barang ma cepet datang ya, tp privasinya tidak ama.....
maaf saya kasi bintang 3, karna privasi tidak aman.....",3
"barang sudah terima 
belum dicoba karena masih terpisah dengan suami
insa Allah berhasil ikhtiatnya.""aamiin""",5
Barangnya bagus suka,5
"makash gan, paket sdh nyampe, Peking rapi, kurir jga rmah, sukses terus buat Lazada,,👍👍👍
",5
Manteep Menuburnya udah saya tes Bener bener Mantuuul.trimakaih Lazada and kulirnya,5
ok,5
Langganan ,5
pengirimannya cepat dan sesuai barangnya mkasih lazadanya utk kurirnya ..ok,5
terimakasih,5
maaf...brang dah nyampek dari kmrin...makasih lazada,5
mkasih lazada and kulirnya mga jaya selalu... ,5
makasih dah nyampe madu ny dengan cepat makasih lazada,5
"trimah kasih lazada,moga sukses sllu..n trmah ksih abg kurirnya baik,,lngganan..",5
bagus packing rapi,5
"alhamdulilah barang gak ada cacat sdkit pun, mdh2n dengan madu ini bisa cpet dpet garis 2",5
"Paketnya sudah sampai dengan selamat, dan packingannya juga bagus. ",5
Thanks 🙏,5
"packingny rapi, pengirimanny cepat thx lazada..",5
ok packing rapi,5
Ok kemasan rapi.tar saya pesen lg,5
bagus .packing rapi,5
barang sesuai.pengiriman ok lah,5
brg dtng tdk sesuai pesanan pesen madu penyubur pria yg dtg promil😅,2
ok,5
ok,5
Overall Ok,5
ok,5
"ok
",5
mksih bos,5
mantaf,5
mntap,5
"mantap
",5
ok bagus,5
top,5
