review,rating
pesanan kdua trnyata cocok sm serumnya bkin muka brsih n glowing..produk ori soalnya..thanks nnti psan lg klw udh hbs ,5
terimakasih ssuai psnan mo cb dlu nnti klw ccok psan lg 🙏,5
"Real pict dan Ori.. 
Amanah dan gk nyesel blanja disini 
Makasih lazadaa",5
"Tokohnya amanah banget, bisa jadi langganan nih.. barangnya juga asli 🥰
Terima kasih Lazada ❤️",5
"tlg diperbaiki lagi pekingnya ya,,soalnya kerdusnya pada pesok semua.",5
Produknya bagus... Kulit jadi lbh segar.... ,5
kak kenapa dikirim bukan gold saya kan pesan yang gold,5
sip,5
"Udh dtg barangnya,tp blm di coba",5
😘😘👍,5
👍👍👍👍,5
