review,rating
"barang dh smpe tp buat buat air uapnya ko gak ada emang Klu paking barang gak d cek dulu ya semua Na

",3
kecewa banget gk suka gambarnya pdahal udah chat sallernya minta doraemon .udh jawab juga tapi cuma omdo .malah dikirim sogo gmna sih ,3
"asli sampe packingnya bagus ga ada yg kurang satu pun, dan yg nyampe juga sesuai keinginan suka bgt pokonya 😍",5
"Alhamdulillah terimakasih barang sudah sampai tanpa ada lecet/penyok,, pesen doraemon ,alhmdulillah dpt doraemon.blm dicoba mudah2n berfungsi dengan baik.terimakasih bnyak....",5
Ok barang sudah sampai,5
cup uapnya kemana🤔,3
"pengiriman nya cpt cm psenan tdk sesuai yg d pesan,psen yg minions tp yg dtng spongbob.dus nya minion tp mejicom ny motif spongbob.tp g pp lah wlw sdikit kcw.untk kurir ny sopan sekali",3
"Mantap, langsung pesen lagi",5
bagus.cuma lama pengirimannya..,5
paketnya dh sya trima barangnya baik mulus g ada lecet trima kasih lazada ,5
"barang bagus cm blom sempat nyoba,",4
barang real pic dan pengiriman cepat ...,4
Agak kecewa di gambar nya aja yg lainn nya 😍😍😍😍😘😘😘,5
NICE .,5
Bagus,5
yes,5
Good👌,5
mantap,5
puas,5
