review,rating
"Hii kok gk sesuai sih, kan aku mintaknya wrna coklat,  knp yg dteng wrna hitam!! Kalo gk ada bilang dong jgn main kirim aja!! ",5
kerennn baju nya alhamdulilah muat ,5
sesuai pesanan pas bodi jumpsuit ya markotop dh,5
bagus bnget egk kecewa deh pokonya ,5
bagus sesuai harapan bajunya ,5
"bahan.y bagus pengiriman cepat kurir.y jga ramah
",5
Sangat Realpick...Mkasih,5
bagus banget,5
bagus bngt kerennn😘😍😍,5
"realpict,, bajunya cantik banget",5
"maaf baru kasih ulasanx, mksh bajux bagus, cuma pesan warna lain ko datengx warna lain yah,  itu hari saya pesanx warna hitam ko dtngx warna kuning.nanti sebelum kirim tolong di periksa kembali yah. makasih",5
saya kira panjang celana nya tapi pedek tapi biar lah makasih lazada,5
aku order coklat sama kuning kenapa yanv dtg hitam ... kecewa😏😏😏😏,1
"cukup puas sama bajunya bagus makasih lazada
",5
 Brg sdh diterima dgn baik tp sayangnya sy pesan warna hitam koq warna lain yg muncul..! ,5
maksih lazada...baju nya bgus sesuai gambar,5
bahan tipis ,1
Saya pesen warna Kuning malah di Kirim coklat. Bahannya juga licin tipis. Tapi pengiriman cepat. ,4
good,5
bahan tebl,5
