review,rating
"alhmdulilh sudh mdrat dg slmat kmren cakep sesuai trimksi lazada  trimksi pak kurir , kurir nya baru 🙏 ya nlp kmren gk ke anggkt hp di pakek ank sy sxli lg trimksi pak kurir",5
"alhamdulilah 2 kali pesan barang nya sangat bagus, bahannya tebal, lumayan besar pula,  kurirnya ramah tepat waktunya.  pokoknya belanja di lazada barang nya gak ngecewakan.  terimakasih lazada. ",5
"fix barang oke sesuai gambar, ini kali kedua pesanan dengan barang yg sama tapi ukuran yg berbeda... thanks lazada",5
"Alhamdulillah sesuai dgn gambar 😘 & ini pesenan yg ke 2 ,tokonya Amanah,sukses  sll smoga tambah lancar & thanks lazada & abang kurir",5
"barang nya bagus, bahan nya tebal",5
Terimakasih lazada...seller...kurir... 🙏🏻😇 ini orderan kedua ku 🤩,5
"Cakeppp 🤩 terimakasih lazada,seller & kurir 🙏🏻🙏🏻🙏🏻",5
"tasnya bagus,besar lg muat bnyak barang,lumbayan buat belanja ke pasar jd gk usah pake kresek tq seller pengiriman jg cepat",5
"Mantaap kak, barang sudah mendarat dengan selamat. Alhamdulillah ibu saya suka banget, katanya bahannya tebel, beda sama dia beli dipasar tradisional, packing juga rapi, kurir ramah. Warna dan model juga sesuai sama yang digambar. makasih ya kak, makasih juga lazada 🙏😊",5
"barang udah diterima dengan baik, kwalitas ok respon penjual bagus dan mudah mudahan awet mks lazada",5
saya kira bakal tipis kaya yg bahan plastik tapi ini cukup tebal. yang size L aku kira kecil banget eh pas dibuka sletingnya ternyata luas banget dalemnya . cocoklah buat aku yg suka bolak balik kosan dan rumah. makasihh🥰🥰🥰,4
maaf gelap gak pake fless... tas nya keren bangeet.. bahan nya tebal.. dan kemasan nya pun rapih.. besar juga tas nyaa... mkcee lazada... ,5
Alhamdulillah tasnya udah nyape bagus gak ada cacat👌makasih kak semoga kedepannya tetap amanah yah😁makasih lazada seukses terus yah,5
"smua pesen an q sangaaat memuaskan terimakasih sudah memberikan pelayanan,jd setia deh klo pesen"" ,sukses sll.thank's lazada & abang kurir",5
"alhamdulillah sesuai pesanan, sukaa bahannya tebal. terimakasih seller dan lazada juga mas kurirnya yang ramah. semoga sekses selalu:)",5
"Tas sampai sesuai di poto Yang XL besar👍 suka😍 pas buat pulkam😁 yang ukuran m 1 nya beda warna mungkin abis x ia nggak apaapa tapi  
Makasih 🙏🙏",5
dpt diskon cuman byr 13rb dpt bareng oke banget udh tebel gede lagi top lah pokonya...gak kecewa cuman lama doang pengirimannya gk masalah terbayar dgn barg ya yg bagus😊😊,5
gak sesuai bngettt ma pesenan y bner bner kecewa ak yg di nanti nnti mlh bikin kecewa ak pikir gde treryata kecil bngett,5
"Thanks lazada tasnya udah sampai,bagus banget,bahanya tebel  real pict yes,pokoknya recommended banget dech,",5
"kirain ukuran XL yg paling besar tapi ternyata dibandingkan punya yg lama masih lebih besar yg lama, ukuran XL nya ternyata masih dibawah ukuran yg lain",4
Alhamdulillah paketnya udah dtng mksih seller dan lazada.. tasnya bagus mudah2n awet dan kuat buat nyimpeun barang2.. mkasih jg buat mas kurir nya ngntrin mlm2 mna ujan lg,5
"alhamdulillah bahannya bagus, agak kecewa motif tas yg di kirim g sesuai yg di pesan. kurir ramah dan paket rapi, makasih Lazada. ",5
"Alhamdulillah barang nya udah nyampe tadi siang..bahan nya tebel,pesen XL 3 bagus semuanya..thank you Lazada🥳",5
"paket sudah mendarat,sesuai gambar,real pick,rekomen dech pokonya...bhan lmayan tebal,saran saya klo bisa bkin lagi produk yg ukuran 2meter x 2meter,biar muat buaaaanyaaaaakkkk😂😂😂",5
"tasnya kuaaaaaaaaaaaaaaaat bgt 
harga kaki 5 👣👣👣👣👣
kualitas bintang 5 ⭐⭐⭐⭐⭐
respon jempol 5 👍👍👍👍👍

the best buat lazada dan reseller nya",5
"alhamdulilah barang nya bagus,kurir ramah banget.hatur nuhun mamang kurir😁",5
"bagus banget..bahan tebal,ga nyesel udh bli dua kali..mksih lazada..kurir langganan.",5
"Pesanan diterima dng baik, Packing sederhana, tetapi cukup aman.Penguriman baik.sesuai jadual.",4
trima ksh...tasnya bagus...topplah 👍👍👍👍,5
"cukup dehh barang banyak jdi rapih,, Makasih lazada ",5
"ada yg cacat... 

tpi bahannya Oke..! ",3
Barang bagus bahan ok semoga awet di pakainya... ,5
"bahannya bagus, original pict, sayang pengiriman lama",5
kecewa kecil buat apa,1
ok sesuai pesanan ,4
"tas nya sesuai pesanan
",5
"mudah slalu di jga kualitas nya
",5
mantap tidak mengecewakan terima kasih Lazada. 👍,5
udh beli 2x tas ini ditoko ini g pernah kecewa..jaga trs kepercayaan konsumen ya..tksh lazada..,5
bagus barang y cuman pengiriman y lama,3
sesuai dengan ukuran ,5
kirain yg dtng yg xL euh yg dtng mlh yg kecil  ..tpi g apa lah mkc kulir nya ramah loh ..mkc Lazada,5
barang Ok bagus sipp sesuai permintaan,5
Alhamdulillah tas nya bagus...gde lagi ... makasih lazada dan seller,5
akhirnya Dateng juga sesuai dengan pesanan rapih bagus dan tebal banget besar lagi tasnya cukuplah buat pulkam 🤭🤭makasih kurirnya dan anterin dengan selamat dan sampai tujuan sukses terus buat lazada makasih 👍👍👌👌,5
"baguss parah udah 2x beli gapernah kecewa,ayo jangan ragu beli disini,cuma aga kecewa sm kurirnya aja hhe",5
bagus sesuai deskripsi..bhn tebel...puaaassss blnjaaa di siinii...maksih seller..bg kurir dh langanan..mksih jg,5
"tasnya kecil awalnya kecewa ch tp pas di buka good Jobs ,kwalitas nya top bgt,smoga sukses trs ya.thansk Lazada & abang kurir,estimasi super cepat,mau pesen lg😘😘😘",5
"Tas nya bagus bgt,Bhn  nya jg lumayan tebel,mogga awet,dan ttp amanah buat seler and Lazada,sukses trs buat kedepannya,amin
Buat Abang kulit nya jg baik",5
"Sudah sampai, agak terlambat pengiriman mungkin krn wabah corona ya... saya pikir tas nya besar tau nya kecil tapi bahannya tebal lumayan buat di pake belanja yg agak berat lah ..",3
Maaf yah kk br kasih ulasan .. Alhmdllh barang nya bagus .... Pko nya puas kk blnja d toko ini mksh lazada dan mksh mbak kurir yang cantik  alhmdllh ramah kurir nya ,5
top magotop kuwalitas super g nyesel abang kurirnya ramah sukses trs pertahankan kwalitas trim.s,5
"kualiatas nya bgus..
makasih ya lazada☺️",5
Ih bagus bangeut ... Tebel lagih .. pokonyh markotop lah .. makasih lazada .. dan mksih Abang kurir nyh yg udh langganan ,5
mantab.bahan ok,4
sangtt puas😊🤩,5
"suka ama tasnya bahannya juga tebel tasnya besar lagi, cepet sampe nya tasnya kurirnya juga ramah udh langganan, makasih lazada",5
"oke tas nya ,mksh lazada",5
"tas nya bagus sesuai pesanan , Abang kurir nya beda Ama namanya yg anter  langganan saya baik dah ....",5
tas nya sedeng sih cuma aku kecewa tas nya jebol pinggir nya kurir nya baik dan udah langganan abang kurir nya mksih ya  tolong sebelum di kirim di cek dulu biar ga kecwwa ,2
maaf brng dtg tdk sesuai gambar. yg ini tdk begitu suka sm motifnya. klo  bhn sih emang bagus tebal kuat. ya udh lah gpp makasih buat ad seller jg lazada,4
bahan ny sih bagus cuman yg dikirim tas ny kecil banget saya pikir semua satu ukuran sama seperti yg di gambar padahal saya perlu ny yg besar,3
Realpict bagus♥️,5
"bagus, dasarnya tebal, kuat. cocok digunakan buat nyimpan barang2. ",5
"kwalitas baik,brg lumayan tebal,kurir nya ramah .tulisannya utk laundry tp cm tas nya kok kecil.ga bs bt usaha sy.",3
"tas sudah sampai ,bahan tebal trimakasih lazada",5
sudah diterima pesanannya...barang kualitas bagus...bahan tebal...seppp tqu y,5
the best 😍,5
"kecil bukan yg d msksd,,pengen nmh yg besar yg dtng kecil.",5
Puas barangx gede banget muat banyak Nie mantap ,5
"ok prngiriman lumayan
walaupun tidak sesuai ukuran tapi ok lah

thanks seller
",5
"barang udah sampai,sangat bagus..mantap barang",5
aku syuka aku syuka...,5
barang nya bagus makasih kulir nya jga ramah langanan lgi ,5
mantul abis barangnya ok..mksh lazqda.mksh jg bang kulir.,5
tas ny baguss..,5
"dah nyampe bagus,dalem,tebal,dan terima kasih lajada,dan pengirim nya oke mobil,",5
Bagus sh..tpi ada yg sobek sedikit ga ke jahit..,5
"barang nya sdh sampai, bagus.",5
"puas bgt kak makasih , barang nya cpt sampe nya maap baru kasih ulasan 🤩 ",5
"kirain besar ihhh kesel
tapi gpp lah
bahan bagus seeh 
tq lazada n seller",5
terima kasih lazada,5
bagus..  tpi kurang besar.  .  aku slah pilih ukuran.. ,5
"bagus
",5
"tas'y bagus tebal sesuai pesanan 
proses cepat 
abang kurir'y jg langganan",5
"mantap
",5
"tas nya bagus tebel gak nyesel, murah lg",5
bagus bahan tebel memuaskan ,5
bagus dan kaitannya kuat. sangat membantu sekali untuk saya berjualan,5
"bagus, bahan tebal banget, pastinya kuat ",5
alhmdulilah bagus,5
Bahannya tebel semoga awet v saya salah pilih ukuran terlalu besar d bawanya ribet,5
Mksh kak tas x dah nympk bgus Rebel gak nyesel deh pkok x ,5
mantul pokoknya pengiriman jg cepet.n kurih jg ramah  mksh lazada,5
mantuullah pokoknya...pengiriman juga cepet..n kurir juga dh langg mksh lazada ,5
"Maaf br ksh ulasan,barang bgus bahannya tebel mksh lazada",5
"tas nya bagus,tapi aku pikir ukuranna L nya ukuaran besar, ternyata kecil,
tanks you",5
tas nyah gede cukup buat yg bawa barang banyak mh,5
"bgs,bhn tebel tp aku pesennya slh,gede bgt ternyata",5
"barangny bagus...
tdk mengecewakan...",5
"bagus,,,,,,,,,,,,,, ,,,,,,,,,,,banget😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘",5
"udh sampe brng nya dngn selamat
",5
"Siip! Sayang motifnya kogh sama, kemarinkan minta dibedakan",5
👍👍👍👍👍👍👍,5
"bagus tasny
cm ukuranny kecil...",5
"tas nya bgus,",5
tebal... bagus,5
mksh brng nya dah sampai.sesuai gambar.mksh lazada,5
mantap terus,5
bagus tebal. kurirnya ramah,5
Cucok... 👌,5
bagus bhanya tebal,5
okey baguss bangettt dan kurirnya baik yg suka kerumah garudet kaya yang lain hhe,5
brg sdh smpe lumayan ,5
bagus tebal,5
bagus banget poko nyh puas,5
"saya kira yg ukurannya gede,ternyata ukuran ygkecil",3
Bagus,5
tas ya bagus tebal tapi gede banget ternyata ya nich lgi pesen lgi yang ukuran sedang ya ,5
tas nya kt nya besar tapi knp tas nya kecil ya ,5
"barang ok baik bahan nya pun cakep betul,walaupun Emang kekecil an,tapi tak apa lahhh,",5
"kualitas.a bagus .tebal 
",5
Sumpah bagus banget ga nyesel deh belanja di toko ini pokoknya the best,5
gimana sh pesen 2 tp yang 1 resletingnya rusak ga lagi2 deh,1
baguss order ke 2X ny mksih 🙏,5
bagus barangnya realpict,5
Tasnya kegedean..tapi bagus..makasih lazada,5
maaf baru kasih ulasan good bgt tas ny.gede muat banyak barang hehe sayangnya belum bisa mudik,5
waw brang nya dah sampe pengirim am nya cepet mkasih,5
Pokok ny seneng bgt belnja d toko ini brang bagus pngiriman cpet...,5
bagus banget terimakasih kak,5
"tas nya bagus, bahan nya tebal👍",4
sesuaiii harapan .. mantapp..,5
dikra tas nya Gede tau2 nya kecil,5
Trimakasih lazada,5
"terimaksih barang nya sudah sampai.. ukuran xl ternyata gede bgt ya.... barang nya bagus dan tebal
",5
mantebbbb..semoga awet,5
"barang nya sangat bagus
",5
"barang bagus dan tebel ,thank you",5
"Paket y udh sampe, barang y bagus 👍👍👍",5
pesenana sudah dateng walaupun lama mksih ,5
mantep.. gede pisan tasnya hehe,5
bagus tasnya ,5
bagus👍👍👍,5
beda sama yng di gmbar,5
"bagus....harga murah
",5
"recomend banget, bahan nya tebal, pengiriman cepat. 
",5
baguss bahannya tebel,5
Bagus banget,5
tassnya mantap bagus saya suka semoga sukses makasih lazda,5
tas nya bagus gede lagi perfect pokonyaa mah mantul tul tul❤️,5
"Bagus,,,bngt",5
"tas nya bagus, tpi robek d samping kek gak kejait",5
barang mantuuuul,5
mksh lazada,5
woow keren..tasnya tebal,5
"tasnya bagus tebal LG sesuai dgn gambar,terimakasih bang kurir",5
tasnya bagus dan sesuai pesanan makasih lazada ,5
Sesuai dengan pesanan 🙏,5
bgus bhn nya ,5
"Kurang teliti , masa seleting nya macet total dikirim aja , dih bikin kesell",3
barangnyaa bgus ga mengecewakan,5
tasnya kecil aku kira gede,5
aku kira besar😂😂 tapi lumayan lah,5
Masyallah tas nya gede kali ya ..tpi sesuai pesenan ,5
Top deh bisa buat mudik tapi mudik ya jadi gak yah gara2 korona 😭😭😭😭😭,5
"tas ny tdk sesuai gambar, resleting ny jg susah.,",5
suka bangettt......,5
👍👍👍👍👍👍,5
"kecewa karena tasnya kecil tas kaya gini aku punya bayak
",2
"Tidak sesuai dgn yg dipesan kecewaa
",5
"Tasnya bagus tebel dan tidak mengecewakan,dan juga kurirnya baik ramah dan murah senyum 👍👍🥰🥰",5
tas nya bagus bahan tebal jahitan jg kuat ...gambar mah gak masalah .....,5
makasy...  puas bnget bgusss..,5
sesuai dengan order,5
kurang besar ,1
dikira kecil ternyata besarr suka suka❤,5
makasi lazada,5
bagus tebel bngt,5
"TDK mengecewakn,,, pertahankan kwalitas mksh",5
Sesuaii... Goodddd,4
"Bahannya bagus,engga kecewa pokoknya👍",5
bagus mantul,5
asli bagus gk kecewa dah pokoknya mantulll  😍😍😍,5
👍 👍 👍 ,5
makasih bagus respon toko cepat..,5
tebel bahannya 👍👍👍👍,5
"top deh Mantap 
tas Nya muat banyak",5
"sesuai pesanan makasih lazada,kurirnya jg ramah",5
"sesuai pesanan,,tas bagus bahan tebal,puas deh pokoknya,terimakasih buat lazada,seller dan kurirnya",5
bagusssss bgt tas nya 😍,5
"Bagus, gede banget👍",5
sesuai gambar,5
"bahan tebal, bagus, sesuai gambar, pengiriman cepat, recommended seller dh.. ",5
Bagus tli kecil.,5
Makasi yach ladaza puas bngt sesuai dengan pesan kurir ramai bngt,5
"pengiriman cepat.barang y mantull bnget bahan y tebal.puas bnget deh
",5
biarkan bintang yg bicara godd👍🏽👍🏽,5
Bagus bahan nya juga bagus .. sesuai harga ..,5
"trimaksih barang bgus cuma kurang gede dikit ya,  maksih seler, makasih abang kurir ramah",5
ternyata tasnya kecil.. ,5
keren tas nya tebel lagi,5
"barang nya bagus bgt tebel .
aku suka aku suka",5
"barang bagus 
",5
bgus bget tebel bget lembut,5
bagus bahanya tebak maksh lazada,5
kecewa sedikit..pesen 2..yg satunya tasnya sobek seperti kena gunting,4
Paket nya udh nyampe dgn slamat maksih lajada.. ,5
mantap barang nya keren bagus sesuai sama gambar,5
"pakwtnya udh dateng real pick sih cuman sya kira besar ternyata kecil...tp gpplah bagus
",5
dikira ku ukuran gede nyatanya kecil,5
bahanya tebal..bgus ,5
Alhamdulilah Dateng jg tu paket... alhamdulilah tas nya bagus....gk sia sia nunggunya jg,5
Bagus Bahan tebal dan lumayan gede,5
ukurannya m kok trllu kcil y,3
Suka bnget pkonya tas nya sprti yg d harapkn,5
sesuai digambar sy suka dan tidak mengrcewakan. trima kasih lazada lain x order lagi,5
tebal bagus dan rapih ,5
bagus aja semuanya,5
Barang ok riel pick trimakasih ,5
ok tasnya teball kurirnya jga baek 🖒🖒,5
"di kira gde, trnyta kcil tp lumyn lh",5
"tasnya bagus,bahan jg bagus,,cmn sletingnya aja kurang gede..🤭",5
"yaa tas udh sya trma,tas ny bgus mudh2ja awet",3
Bagus barangnya...,5
mantul,4
ok,5
oke,5
real peacy,5
mantulll,5
"bgus ko

",5
Mantapp,5
mantulll,5
memuaskan ,5
Ok,5
baguss,5
Bagus ,5
bintang 5,5
bagus,4
"bagus
",5
bgus,5
barang oke,5
realpick,5
Bagus,5
bagus😊,5
baguss bgt,5
🤩,5
good,5
❤️,5
Baguuuuus,5
sip,5
bagus,5
bgus bgett,5
👍👍,5
puas,5
ok lah,5
Bagus,5
sip deh,5
ok,5
Puas,5
